Header Reference (BOM Reference),Stock Code,Description,Notes,Sequence Number,Quantity,Instruction,Unit of MEachsure,Scrap Percentage,Fixed Quantity,Use Only in BOM Module
SA-FG-0020,SA-FG-0023,100mm Double Gate Nut (Locking Mechanism),,10,1,,Each,0,FALSE,FALSE
SA-FG-0020,FG-0060-MP,Double Gate Spindle - 32 OD x 400mm Shaft,,20,1,,Each,0,FALSE,FALSE
SA-FG-0020,SA-FG-0021,100mm Double Gate Pivot Bracket (Locking Mechanism),,30,1,,Each,0,FALSE,FALSE
SA-FG-0021,FG-0054-FP,Double Gate Pivot Bracket Fixing Plate - 10mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0021,FG-0055-FP,Double Gate Pivot Brack Eye Tab - 12mm,,20,2,,Each,0,FALSE,FALSE
SA-FG-0021,RAW-FB-0002,FB - 40x10mm - SS304,,30,0.075,,Metres,0,FALSE,FALSE
SA-FG-0021,SA-FG-0022,100mm Double Gate Pivot Block (Locking Mechanism),,40,1,,Each,0,FALSE,FALSE
SA-FG-0022,FG-0062-MP,Double Gate Pivot Block - 40x65x100mm ,,10,1,,Each,0,FALSE,FALSE
SA-FG-0022,FG-0063-MP,Double Gate Pivot Block Cover - 50x70x10mm ,,20,1,,Each,0,FALSE,FALSE
SA-FG-0022,PP-FG-0006,Flanged Oilite Bush - 46x4.0 Flange x 38 OD x 33 ID x 32mm,,30,1,,Each,0,FALSE,FALSE
SA-FG-0022,PP-FIX-M6-0012,M6x20 Hex Socket Cap Head Bolt - A2,,40,4,,Each,0,FALSE,FALSE
SA-FG-0023,FG-0064-MP,Double Gate Nut Housing - 70 OD x 100mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0023,FG-0065-MP,Double Gate Nut Core - 52 OD x 50mm,,20,1,,Each,0,FALSE,FALSE
SA-FG-0023,PP-FIX-M6-0019,M6x6 Grub Screw - A2,,30,2,,Each,0,FALSE,FALSE
SA-FG-0024,FG-0056-FP,Double Gate Cradle Bracket Fixing Plate - 10mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0024,FG-0058-FP,Double Gate Cradle Plate - 12mm,,20,2,,Each,0,FALSE,FALSE
SA-FG-0024,RAW-FB-0002,FB - 40x10mm - SS304,,30,0.075,,Metres,0,FALSE,FALSE
SA-FG-0025,FG-0066-FP,Double Gate Latch Cover - 2mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0025,FG-0067-FP,Double Gate Latch Cover Locking Angle - 3mm,,20,1,,Each,0,FALSE,FALSE
